STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,TPCP
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19861001,239,402
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19861101,154,494
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19861201,326,1243
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19870101,134,168
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19870201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19870301,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19870401,433,1146
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19870501,763,3531
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19870601,86,273
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19870701,514,885
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19870801,457,1662
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19870901,110,403
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19871001,96,259
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19871101,182,267
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19871201,30,126
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19880101,73,98
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19880201,24,29
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19880301,436,667
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19880401,592,3136
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19880501,202,548
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19880601,422,1781
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19880701,256,522
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19880801,112,451
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19880901,94,475
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19881001,101,260
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19881101,391,1144
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19881201,375,879
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19890101,375,795
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19890201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19890301,400,750
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19890401,815,2238
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19890501,535,2966
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19890601,225,858
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19890701,322,845
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19890801,175,790
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19890901,23,91
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19891001,290,1238
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19891101,267,750
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19891201,160,215
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19900101,730,860
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19900201,290,638
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19900301,672,1418
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19900401,201,391
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19900501,362,966
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19900601,172,1085
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19900701,170,862
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19900801,246,609
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19900901,142,436
